R_A,E_PBE_Ha,E_CCSDT_Ha,PBE_minus_CCSDT_mHa,occs_PBE,occs_CCSD,H_vN_PBE_nats,H_vN_CCSD_nats,corr_T_resolution_0.3K_mHa,corr_T_room_298K_mHa,corr_T_electronic_10000K_mHa
0.6,-1.134666068598017,-1.139565947952572,4.899879354554937,"2.0000,0.0000,0.0000,0.0000","1.9740,0.0131,0.0057,0.0033",-0.0,0.08630423622972672,5.683306148881756e-05,0.056454174412225444,1.8944353829605853
0.74,-1.160021284550334,-1.163313520783555,3.2922362332210575,"2.0000,0.0000,0.0000,0.0000","1.9671,0.0204,0.0061,0.0028",1.554312234475218e-15,0.10246145004566519,6.747290915336263e-05,0.06702308975900689,2.2490969717787546
1.0,-1.1388973969196843,-1.1395895245409098,0.6921276212255023,"2.0000,0.0000,0.0000,0.0000","1.9446,0.0454,0.0056,0.0018",6.661338147750936e-16,0.14610050273547578,9.621009603063313e-05,0.09556869539042889,3.207003201021104
1.5,-1.0571834869405263,-1.0610239401284007,3.840453187874404,"2.0000,0.0000,0.0000,0.0000","1.8230,0.1731,0.0022,0.0005",-0.0,0.3111487478348048,0.0002048976584508967,0.20353167406122405,6.829921948363223
2.0,-0.9956178967147917,-1.0174179622450885,21.800065530296784,"2.0000,0.0000,0.0000,0.0000","1.5643,0.4349,0.0003,0.0001",2.220446049250313e-16,0.5276909713626972,0.000347495033067915,0.34517839951412893,11.583167768930501
2.5,-0.9582334108237331,-1.0030943378429913,44.86092701925814,"2.0000,0.0000,0.0000,0.0000","1.3066,0.6932,0.0000,0.0000",-0.0,0.6460878948859822,0.0004254617694489038,0.4226253576525779,14.182058981630126
3.0,-0.9371386429475974,-0.9995430615982247,62.40441865062729,"2.0000,0.0000,0.0000,0.0000","1.1497,0.8502,0.0000,0.0000",3.330669073875469e-16,0.68203830129056,0.0004491358293444203,0.44614159048212415,14.971194311480676
4.0,-0.9197033142044383,-0.9986054352601098,78.90212105567151,"2.0000,0.0000,0.0000,0.0000","1.0317,0.9683,0.0000,0.0000",1.110223024625156e-15,0.6926550218538324,0.0004561271516588425,0.45308630398111693,15.204238388628085
5.0,-0.9151934926899017,-0.9985597320620963,83.36623937219456,"2.0000,0.0000,0.0000,0.0000","1.0057,0.9943,0.0000,0.0000",1.1102230246251564e-16,0.6931336214224949,0.0004564423190237667,0.4533993702302749,15.21474396745889
