R,E_pbe,E_fisher,E_scc,E_both,E_ref
0.7,-0.5491569462330897,-0.5261856574696632,-0.5775262704836482,-0.5550739915082298,-0.5518322108322288
1.0,-0.6050323723100933,-0.5857155730652431,-0.6358189036878356,-0.6170197030107406,-0.5995603086608808
1.5,-0.5974980473857794,-0.5810776485439195,-0.6316376892295392,-0.6156879723590372,-0.5772223648489883
2.0,-0.5795114990884564,-0.5635163473688991,-0.6130304211096806,-0.597453307111425,-0.5449521979077849
2.5,-0.5712039249609262,-0.5544916174445558,-0.6024372425332181,-0.5861089550350551,-0.5239148167618919
3.0,-0.5696430094975465,-0.5520738906012117,-0.5992627470848566,-0.5820248423587391,-0.511640563000004
4.0,-0.5738008321672913,-0.5552957235428175,-0.6016386816796987,-0.5834007645337496,-0.5018437818837174
5.0,-0.579184612859394,-0.5604152528200899,-0.6060978907539105,-0.5875641666397124,-0.4997354061682625
