R,E_pbe,E_fisher,E_scc,E_both,E_uhf,dE_F,dE_S,dE_FS,epsilon,conv_pbe,conv_fisher,conv_scc,conv_both
0.7,-0.5491569462330909,-0.5275813421613257,-0.6283038761819334,-0.6056152780782847,-0.551832210832229,21.575604071765177,-79.14692994884254,-56.45833184519389,1.1129940318834741,True,True,True,True
1.0,-0.6050323723100935,-0.5868855643499161,-0.6736789702217013,-0.6544680066512393,-0.5995603086608811,18.146807960177426,-68.64659791160777,-49.43563434114573,1.0641556102846152,True,True,True,True
1.5,-0.5974980473857794,-0.5820660452116235,-0.6530783479104556,-0.6367033370692292,-0.5772223648489885,15.432002174155857,-55.58030052467622,-39.20528968344983,0.9430086670705364,True,True,True,True
2.0,-0.5795114990884567,-0.564473889333353,-0.6275900898141038,-0.611621051965274,-0.5449521979077849,15.03760975510371,-48.07859072564713,-32.10955287681738,0.9314280937260406,True,True,True,True
2.5,-0.5712039249609262,-0.5554901057275241,-0.6158502612993544,-0.599132585210125,-0.5239148167618919,15.713819233402093,-44.646336338428185,-27.92866024919882,1.003856855827273,True,True,True,True
3.0,-0.5696430094975471,-0.5531242512793174,-0.6126275264245931,-0.5950538953700008,-0.5116405630000045,16.518758218229678,-42.984516927045966,-25.410885872453658,1.0548728363626303,True,True,True,True
4.0,-0.5738008321672908,-0.5564046474240086,-0.615022996418232,-0.5965656882196917,-0.5018437818837176,17.396184743282195,-41.22216425094116,-22.764856052400862,1.0611234552581053,True,True,True,True
5.0,-0.5791846128593938,-0.5615413054811882,-0.6192622687810698,-0.6005784685579737,-0.4997354061682625,17.64330737820563,-40.077655921676005,-21.393855698579877,1.0404928448904975,True,True,True,True
