R,E_pbe,E_fisher,E_scc,E_both,E_uhf,dE_F,dE_S,dE_FS,epsilon,conv_pbe,conv_fisher,conv_scc,conv_both
0.7,-0.5491569462330906,-0.5275813421613252,-0.57752627048365,-0.556437845097462,-0.5518322108322292,21.575604071765397,-28.36932425055938,-7.280898864371332,-0.48717868557734967,True,True,True,True
1.0,-0.6050323723100933,-0.5868855643499155,-0.635818903687836,-0.618158324025431,-0.5995603086608806,18.146807960177867,-30.786531377742676,-13.125951715337703,-0.4862282977728931,True,True,True,True
1.5,-0.5974980473857803,-0.5820660452116244,-0.6316376892295403,-0.6166483348784477,-0.5772223648489887,15.432002174155857,-34.13964184376006,-19.150287492667452,-0.4426478230632469,True,True,True,True
2.0,-0.5795114990884569,-0.5644738893333536,-0.6130304211096815,-0.5983863829913831,-0.5449521979077852,15.037609755103265,-33.51892202122464,-18.874883902926243,-0.39357163680486806,True,True,True,True
2.5,-0.5712039249609264,-0.5554901057275237,-0.6024372425332181,-0.5870850485438996,-0.5239148167618919,15.71381923340276,-31.23331757229164,-15.881123582973222,-0.36162524408434216,True,True,True,True
3.0,-0.5696430094975462,-0.5531242512793165,-0.5992627470848562,-0.5830559775116512,-0.5116405630000042,16.518758218229678,-29.619737587309956,-13.412968014104965,-0.31198864502468737,True,True,True,True
4.0,-0.573800832167291,-0.5564046474240083,-0.6016386816796984,-0.5844943325347651,-0.5018437818837174,17.39618474328275,-27.83784951240731,-10.693500367474073,-0.25183559834951197,True,True,True,True
5.0,-0.5791846128593936,-0.5615413054811879,-0.6060978907538488,-0.5886767537810663,-0.4997354061682624,17.64330737820574,-26.91327789445519,-9.492140921672721,-0.22217040542327027,True,True,True,True
