R,E_pbe,E_fisher,E_scc,E_both,E_hf,dE_F,dE_S,dE_FS,epsilon,conv_pbe,conv_fisher,conv_scc,conv_both
0.5,-1.074445600668115,-1.0459469953881297,-1.1547759202869645,-1.1277826229045067,-1.0496012657436522,28.498605279985156,-80.33031961884961,-53.3370222363918,-1.505307897527345,True,True,True,True
0.74,-1.1600212845991857,-1.1366372114184198,-1.2473256786053,-1.2253384468711268,-1.128893619351241,23.384073180765963,-87.30439400611422,-65.31716227194107,-1.3968414465928163,True,True,True,True
1.0,-1.1388973969467733,-1.118873373884342,-1.232073546257031,-1.2133499517666229,-1.1000888638268589,20.02402306243134,-93.17614931025764,-74.45255481984958,-1.3004285720232787,True,True,True,True
1.5,-1.057183486955739,-1.0398759618864704,-1.1587031328263442,-1.1426343538443073,-1.0019473809619726,17.307525069268692,-101.51964587060513,-85.45086688856829,-1.2387460872318456,True,True,True,True
2.0,-0.9956178967283489,-0.9785469996274874,-1.1017613981864358,-1.0859400873709129,-0.921734205949192,17.070897100861515,-106.14350145808693,-90.32219064256397,-1.2495862853385518,True,True,True,True
2.5,-0.9582334108362534,-0.9404282779108688,-1.0594633547209105,-1.0429467629772085,-0.8652618776113741,17.805132925384548,-101.22994388465712,-84.7133521409551,-1.2885411816825183,True,True,True,True
3.0,-0.9371386429579383,-0.9183849471149519,-1.0326854414816615,-1.015118791320247,-0.8264172503507679,18.75369584298636,-95.54679852372328,-77.98014836230882,-1.1870456815719024,True,True,True,True
