R,E_pbe,E_fisher,E_scc,E_both,E_hf,dE_F,dE_S,dE_FS,epsilon,conv_pbe,conv_fisher,conv_scc,conv_both
0.5,-1.0744456006107728,-1.0459469953338274,-1.383676100308447,-1.3509097895636717,-1.0496012657436535,28.498605276945366,-309.23049969767425,-276.46418895289895,4.2677054678299555,True,True,True,True
0.74,-1.1600212845504076,-1.1366372113727667,-1.432440052888445,-1.405445051984119,-1.1288936193512413,23.384073177640907,-272.41876833803724,-245.42376743371142,3.6109277266849062,True,True,True,True
1.0,-1.1388973969201457,-1.1188733738608132,-1.379744899408737,-1.3566657186571103,-1.1000888638268593,20.024023059332485,-240.8475024885912,-217.7683217369646,3.055157692294131,True,True,True,True
1.5,-1.0571834869405343,-1.0398759618728648,-1.2568757309948229,-1.2372061275005508,-1.0019473809619717,17.307525067669527,-199.69224405428855,-180.0226405600165,2.3620784266025225,True,True,True,True
2.0,-0.9956178967147971,-0.9785469996160048,-1.1713400525251452,-1.1521187760526075,-0.9217342059491904,17.07089709879228,-175.7221558103481,-156.50087933781043,2.150379373745409,True,True,True,True
2.5,-0.9582334108234751,-0.9404282779039881,-1.1207067705535176,-1.100630871169924,-0.8652618776113745,17.805132919487043,-162.47335973004252,-142.39746034644884,2.2707664641066287,True,True,True,True
3.0,-0.9371386429470103,-0.9183849471050167,-1.0921484851433088,-1.0709544093416277,-0.8264172503507676,18.7536958419936,-155.00984219629842,-133.81576639461736,2.4403799596874762,True,True,True,True
