R,E_pbe,E_fisher,E_scc,E_both,E_ref
0.5,-1.0744456006107728,-1.0459469953338274,-1.154775920232541,-1.1277826228526673,-1.080256515011279
0.74,-1.1600212845504085,-1.136637211372768,-1.2473256785552054,-1.2253384468238682,-1.163313520783555
1.0,-1.1388973969201457,-1.1188733738608132,-1.2320735462288201,-1.2133499517415416,-1.1395895245409098
1.5,-1.0571834869405339,-1.0398759618728644,-1.158703132809966,-1.1426343538293187,-1.0610239401284007
2.0,-0.9956178967147964,-0.9785469996160041,-1.1017613981710712,-1.0859400873578309,-1.0174179622450885
2.5,-0.9582334108234749,-0.9404282779039881,-1.0594633547085892,-1.0429467629713207,-1.0030943378429913
3.0,-0.9371386429470108,-0.9183849471050163,-1.0326854414751794,-1.0151187912815212,-0.9995430615982247
