system,n_radii,fisher_alpha,fisher_mae_ha,fisher_aic,fisher_bic,mlr_alpha,mlr_lam,mlr_mae_ha,mlr_aic,mlr_bic,delta_bic_pos_means_mlr
H2+,8,0.012,0.026699037800861025,-31.139136496905685,-31.05969495522585,0.03,0.2,0.02612145269649664,-26.59353305983069,-26.434649976471018,-4.625044978754833
H2,7,0.001,0.02452618226438311,-25.867518400072274,-25.921608251016963,0.002,0.05,0.016689564794214035,-29.710025598835777,-29.81820530072515,3.8965970497081877
